text,class
Dỡ ẹc không ngon gì hết ,{FOOD#QUALITY#NEG}
ăn ở đây nhiều lần rồi nhưng gần đây sốt trộn bị nhạt còn dầu mỡ được cho nhiều hơn thì phải Thêm khoản ngồi chờ càng ngày càng lâu gặp người nào nóng tính chắc la làng rồi,{FOOD#QUALITY#NEG};{SERVICE#GENERAL#NEG}
không gian địa điểm thì quá đẹp đối diện nhà thờ đức bà gần trung tâm dễ tìm không gian thoáng mát lịch sự và không kém phần sang trọng nữa nhân viên phục vụ chuyên nghiệp gữi xe miễn phí nữa về chất lượng thì khá tốt nhưng chắc do khẩu vị mình thấy khoai tây chiên hình như không được ngon lắm khoai chiên mỏng và rỗng không có gia vị gì hết còn về hamburger mình thấy cũng bình thường không gì đặc biệt sốt  không ngon,{AMBIENCE#GENERAL#POS};{LOCATION#GENERAL#POS};{FOOD#QUALITY#POS}
Cảnh đẹp thích hợp để chụp hình Lâu lâu lại có hình mới vẽ rất đa dạng Bên trong có nhiều gian bán đồ quàn áo lưu niệm đẹp và dễ thương có nhiều quán cà phê nữa Khi có hội chợ thì bán rất nhiều đồ ăn mà rẻ lắm Không gian nhỏ nhưng thoải mái,{AMBIENCE#GENERAL#POS};{RESTAURANT#MISCELLANEOUS#POS}
Đồ ăn ở đây cũng không phải xuất sắc mà giá lại cao nhất là nước gạo ngọt kinh khủng mình thái độ kém ,{FOOD#QUALITY#NEU};{FOOD#PRICE#NEG};{DRINK#QUALITY#NEG};{SERVICE#GENERAL#NEG}
Thật sự thấy bánh tráng nướng ở đây không ngon Làm cũng rất lâu vì thấy hầu như lúc nào cũng đông Chủ yếu mọi người ra đây ngồi tám ăn chơi chơi thôi mà ra đây cũng hít khói xe không  Mua 1 cái bánh tráng chờ mỏi mòn mốt không ghé nữa,{FOOD#QUALITY#NEG};{DRINK#QUALITY#NEG};{LOCATION#GENERAL#NEG};{SERVICE#GENERAL#NEG}
Địa chỉ quán nằm ở khu Tập thể Kim Liên quán mới mở thêm không gian bên cạnh nên phục vụ được thêm nhiều khách Quán có chỗ để xe và chỗ ngồi khá thoải mái Chè ở đây ăn ngon và giá rẻ đáp ứng phục vụ  đa số khách chủ yếu là học sinh sinh viên Nhược điểm nhỏ của quán là order hơi lâu chắc do phục vụ nhiều khác Thái độ phục vụ của nhân viên quán thì bình thường,{AMBIENCE#GENERAL#POS};{FOOD#QUALITY#POS};{FOOD#PRICE#POS};{SERVICE#GENERAL#NEU}
Đặt tiệc sinh cho con gái tại Quán được trang trí bày biện thoải mái nhân viên giúp đỡ rất nhiệt tình mà không hề tính thêm chi phí gì ngoài các món tự gọi Mà đồ uống kem cũng khá ngon trang trí đẹp mắt Nếu có tiệc nhỏ lại đến đây đặt tiếp,{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS};{DRINK#QUALITY#POS};{DRINK#STYLE&OPTIONS#POS}
Vừa ăn xong chỉ lắng đọng lại vài chữ ngon rẻ tươi sạch sẽ gọn gàng phục vụ dễ thương chuyên nghiệp,{FOOD#QUALITY#POS};{FOOD#PRICE#POS};{FOOD#STYLE&OPTIONS#POS};{SERVICE#GENERAL#POS}
Món ăn ngon Nước dùng khá ngon Có cả kim chi củ cải lun Bác mình là người khó tính mà phải khen quán này thì không hề đơn giản,{FOOD#QUALITY#POS};{FOOD#STYLE&OPTIONS#POS}
Ăn ở đây một lần là chấm chỗ này Nước soda uống ổn Thức ăn lên hơi chậm tí Chứ KHÔNG nhanh như lần đầu ăn ở đây Mỳ Ý ngon thấm đều sốt hải sản tươi ,{DRINK#QUALITY#POS};{SERVICE#GENERAL#NEU};{FOOD#QUALITY#POS}
Ngon giá bình thường không rẻ không đắt,{FOOD#QUALITY#POS};{FOOD#PRICE#NEU}
Quán thì về mặt nào cũng ổn nhưng về dịch vụ cách giải quyết vấn đề với khách thì quả là có vấn đề lớn Bánh của quán ăn được không ngon cũng không dở Decor đẹp đơn giản nhưng mình,{RESTAURANT#GENERAL#POS};{SERVICE#GENERAL#NEG};{FOOD#QUALITY#NEU}
nước chấm rất ngon nhưng bà chủ lại không thân thiện với khách hàng ,{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Gà rất ngon mình mới ăn 2 loại sốt  cay với Kem sữa cả 2 đều ok Chỉ có phần hơi mặn Khoai tây bự ăn rất đã Mình sẽ đến tiếp ủng hộ 3,{FOOD#QUALITY#POS}
có những chiếc ghế bằng mây giống xích lô cách điệu ngồi lên rất thích Trên tầng 21 có nhà hàng sân thượng có thể ngắm toàn thành phố Đồ uống ngon giá hơi cao 1 chút vì là khách sạn 4 sao nhưng bù lại cảnh đẹp đi cùng nhóm bạn thì  tuyệt vời luôn,{AMBIENCE#GENERAL#POS};{DRINK#QUALITY#POS};{DRINK#PRICE#NEU}
Kêu 1 tô bình thường có rất nhiều thứ luôn á nhưng nhân không ngon ăn ngán nước lèo không mặn mà 1 tô nhỏ xíu mà hẳn 50k mắc thế Ăn 1 lần cho biết thôi,{FOOD#QUALITY#NEG};{FOOD#PRICE#NEG}
Quán này mới mở mà lại rất đông khách Mình đến chọn bánh cá vị trứng và trứng matcha ăn rất  ngon Lúc lên tầng 3 thì đi qua tầng 2 thấy khá là nóng Đến tầng 1 quán thì trông hơi bừa vì có 1 cái bàn khá to nhưng nhân viên ngồi hết và để đồ tùm lum lên bàn Nhưng vì bánh ngon nên chắc chắn sẽ quay lại,{FOOD#QUALITY#POS};{AMBIENCE#GENERAL#POS}
Nếu phải dùng 1 từ để mô tả nhà hàng này thì sẽ là ĐẸP quán bài trí đẹp đồ ăn đẹp đồ uống cũng đẹp nốt Đồ ăn ngon và không quá cay Nhân viên phục vụ rất tốt,{AMBIENCE#GENERAL#POS};{FOOD#STYLE&OPTIONS#POS};{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Ăn lạ thôi chứ ngon thì bình thường không  ngon lắm Quán bé và giá thì hơi cao,{FOOD#QUALITY#NEG};{AMBIENCE#GENERAL#NEG};{FOOD#PRICE#POS}
Đến đây một lần duy nhất và không có ý định quay lại Quán đông và khói mù mịt lại còn có hát dạo với loa rất ồn Thức ăn thì một đĩa có mỗi xíu đồ không vệ sinh nữa,{RESTAURANT#MISCELLANEOUS#NEG};{FOOD#PRICE#NEG}
Không gian quán rộng rãi nước cũng ngon mà giá lại phải chăng ,{AMBIENCE#GENERAL#POS};{DRINK#QUALITY#POS};{RESTAURANT#PRICE#POS}
Không gian độc đáo rộng rãi Đặc trưng với các loại hải sản tươi sống với hương vị sốt đậm đà Phục vụ nhiệt tình vui vẽ,{AMBIENCE#GENERAL#POS};{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Quán ngồi ngoài vỉa hè nên rất thoải mái và thoáng mát Đường An Dương Vương đoạn một chiều không nhiều xe qua lại nên bạn không cần lo về Mấy anh nhân viên cũng rất dễ thương Trà Đào ở đây phải nói tuyệt vời ông mặt trời Trà có hậu đăng đắng nhẹ nên dễ gây ghiền và lại không ngán Miếng đào thì dẻo thơm và ngòn ngọt Kết hợp lại không chê điểm nào được,{SERVICE#GENERAL#POS};{DRINK#QUALITY#POS}
Quán ở trên gác nên hơi nóng  món chế biến nhanh giá hợp lí đồ ăn ngon,{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS};{RESTAURANT#PRICE#POS};{FOOD#QUALITY#POS}
Hôm mùng 5 mình đã ghé nhà hàng ăn có vẻ dịp Tết quán rất đông nhưng điểm cộng là món ăn lên không quá lâu Đánh giá chung về món ăn thì những món mình đã gọi đều khá ổn,{RESTAURANT#MISCELLANEOUS#NEG};{SERVICE#GENERAL#POS};{FOOD#QUALITY#POS}
Nội thất bên trong đẹp không gian mát mẻ đồ uống lạ và ngon giá hợp lý,{AMBIENCE#GENERAL#POS};{DRINK#STYLE&OPTIONS#POS};{DRINK#QUALITY#POS};{DRINK#PRICE#POS}
30 tháng 4 tụi mình ghé qua ăn thử vị trị quán dễ kiếm tại Nhân viên phục vụ được Món ngon ok giá cũng vậy Quán chỉ bị điểm trừ về phần không gian,{LOCATION#GENERAL#POS};{AMBIENCE#GENERAL#NEG};{FOOD#QUALITY#POS}
thái độ của nhân viên không chuyên nghiệp,{SERVICE#GENERAL#NEG}
bánh phải nói là cực ngon vừa ăn 1 miếng là đã muốn  thêm hộp nửa bánh mềm không khô gắt giá cả vừa túi tiền,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
Cũng khá ngon giá mới nên rẻ hơn nhiều rồi lần tới kêu bạn bè qua thử các món khác của quán,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
không gian quán được trang trí có hơi hướng nước ngoài Rất thích không gian ở cả 3 tầng cảnh đẹp mê li Còn bánh ngọt thì mình tuyệt đối mê,{AMBIENCE#GENERAL#POS};{FOOD#QUALITY#POS}
Món ăn ở đây thật tuyệt Không gian khỏi phải chê Nhân viên rất thân thiện Giá cả cực kì hợp lý,{FOOD#QUALITY#POS};{AMBIENCE#GENERAL#POS};{SERVICE#GENERAL#POS};{RESTAURANT#PRICE#POS}
Quán có mặt tiền rộng rãi nằm gần khu phố Tây Đồ uống tạm được cần cải thiện,{LOCATION#GENERAL#POS};{DRINK#QUALITY#POS}
Quán ngon với khá rẻ  hôm mưa mưa nắng nắng thì vừa đi ăn vừa phải hít cái mùi rác bốc lên lúc đó chỉ muốn nhanh nhanh chóng ăn xong để đi,{RESTAURANT#GENERAL#POS};{RESTAURANT#PRICE#POS};{RESTAURANT#MISCELLANEOUS#POS}
Mình từng đi ăn bánh mì chảo ở nhiều nơi nhưng  ở đây là ưng ý và cảm thấy ngon nhất tuy quán hơi bé một chút nhưng là địa điểm mà mọi người nên đến vì đúng với tiêu chí vừa rẻ vừa cực kì ngon,{RESTAURANT#GENERAL#POS};{AMBIENCE#GENERAL#POS};{RESTAURANT#PRICE#POS}
Kêu một ly cafe đen đá Phải nói là chất lượng cafe ở mức rất thấp  Thất vọng vì chất lượng không hề tương xứng với vị thế và cái giá của quán,{DRINK#QUALITY#NEG};{DRINK#PRICE#NEG}
Món ăn ở đây thật là không thể tin được Món ăn ngon ơi là ngon luôn ấy Cái món trên hình là bánh mỳ giòn nướng phô mai với bluberry,{FOOD#QUALITY#POS}
Dê nướng chỗ này ăn cũng được riêng lẩu thì chấm điểm thấp vì phục vụ mì gói với lẩu dê sai công thức rồi,{FOOD#QUALITY#NEU}
Nhìn chung không gian quán giản dị sạch sẽ ngồi ăn thấy rất thoải mái mộc nhưng chất Sushi được đầu bếp không biết như thế nào chứ trình bày lên dĩa nhìn rất bắt mắt luôn Mình có gọi sushi Roll Califonia gì đó chỉ với 35k mà nhìn hấp dẫn miễn bàn nhé Giá cả nhìn ổn hợp túi tiền dao động từ 35k tới 80k mà chất lượng sushi rất tốt Lẫu Thái cay ngon tuyệt thêm bò tơ nhúng và ly soda nữa không còn gì bằng Mà soda có đủ loại luôn nhé Phục vụ thì cởi mở khách không hiểu gì thì tận tình giải thích tại cũng chưa rành về sushi Nhật Nói chung phục vụ tốt chắc chắn sẽ ghé lại quán,{AMBIENCE#GENERAL#POS};{FOOD#STYLE&OPTIONS#POS};{RESTAURANT#PRICE#POS};{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Về đồ uống thì menu không gì đặc biệt hơi ảo phần không gian một chút nhìn ngoài tưởng rộng vô thấy không chứa được nhiêu người quán có view trên lầu nhìn ra ngoài được nhưng khổ nổi cửa kính làm như không bao giờ lau chùi thiếu chăm sóc quán lần sau nếu ghé lại mà cũng bụi bụi vậy chắc âm điểm,{DRINK#STYLE&OPTIONS#NEU};{AMBIENCE#GENERAL#NEU}
Món Âu ở đây được chế biến đúng vị Âu chứ không kiểu lai  như mấy quán Âu giá rẻ khác Vì là quán do các em thực tập sinh phục vụ nên giá rẻ bất ngờ có  tô súp khoai tây hay bí đỏ Các bé phục vụ  lễ phép,{RESTAURANT#MISCELLANEOUS#POS};{RESTAURANT#PRICE#POS};{SERVICE#GENERAL#POS}
Nhà hàng có đâu khoảng gần 10 loại bia tươi Giá cả ok phục vụ chu đáo chuyên nghiệp Đồ ăn lạ và cũng hợp khẩu vị Không gian thoáng có thể ngồi ngoài chắc chắn sẽ quay lại,{DRINK#STYLE&OPTIONS#POS};{SERVICE#GENERAL#POS};{AMBIENCE#GENERAL#POS}
Thứ 7 Một điểm không ưng ý duy nhất là quán rác nhiều do khách luôn đông đúc tấp nập mà món này thì có rau dầu mỡ nên rác rất nhiều Cảm nhận như ăn uống ở nhà do phục vụ nhanh nhẹn rất nhiệt tình và hỏi khách khi thiếu rau có cần lấy thêm không Đồ ăn ra món cũng nhanh tùy khẩu vị mỗi người cảm nhận có ngon không nhưng chất lượng món ăn ngon tôm mực tươi rau sạch và gia vị đầy đủ thoải mái cho khách dùng ,{RESTAURANT#MISCELLANEOUS#POS};{SERVICE#GENERAL#POS};{FOOD#QUALITY#POS};{FOOD#STYLE&OPTIONS#POS}
Cùng một gói giá được chọn đủ loại bánh Nước uống cafe cũng được vị kem ở đây mình thấy chưa ngon lắm bánh thì ngon Không gian hơi ôn ào tiếng nhạc xập xình lớn quá,{FOOD#QUALITY#POS};{DRINK#QUALITY#POS};{AMBIENCE#GENERAL#POS}
Hình như do mình không hợp với đồ Hàn hay sao ấy mà mình cảm thấy không thích chút nào Mà kiểu phục vụ của quán nó lạ đời sao sao á ở tầng 1 thì 1 dàn nhân viên đón tiếp lên tầng 2 bàn ghế xộc xệch  khách ăn trước thì không dọn giấy ăn ,{RESTAURANT#GENERAL#NEG};{SERVICE#GENERAL#NEG}
Đồ ăn ngon trang trí đẹp mắt đi với người yêu thì hợp nhân viên khá ngoan và lễ phép Giá cả hơi cao 1 chút,{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS};{RESTAURANT#PRICE#NEU}
Mình vừa đến ăn buffet tại Nàng Cua tối qua thứ 5 món ăn cũng rất đa dạng cũng cua tôm càng loại nhỏ ốc hương nghêu hào sò dương sò điệp nhiều thứ trên 30 món được chế biến khoảng 45 món nêm nếm cũng ok nhưng điểm trừ là món ăn hơi nguội gọi nhân viên thì ngta sẽ làm nóng lại,{FOOD#STYLE&OPTIONS#POS};{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS}
Nghe bạn mình giới thiệu thương hiệu này được giới trẻ bên Mỹ ưa chuộng thường thực khách phải xếp hàng dài để thưởng thức nên mình cũng thử ghé qua ăn xem sao Quả thực rất ngon Bánh mì giòn tan mà không hề bị khô Nhân thì không quá nhiều đơn giản nhưng mà vừa đủ Ăn xong chỉ muốn ăn thêm Giá  thì tạm chấp nhận được với xu thế giá cả tăng cao như hiện nay Tuy nhiên không gian của quán vẫn chưa thực sự thu hút mặc dù cũng khá ấn tượng Bên ngoài quán có ghế ngồi khá hay và lãng mạn hihi Nhân viên cũng thân thiện và nhiệt tình,{FOOD#QUALITY#POS};{RESTAURANT#PRICE#NEU};{AMBIENCE#GENERAL#NEU};{SERVICE#GENERAL#POS}
Tối ngày tôi có mua hàng tại lotteria nhưng không mua được với lí do không có tiền lẻ để thối và đây không phải là lần đầu tiên tôi gặp trường hợp này Thật là không thể chấp nhận được khi một nơi bán hàng chuyên nghiệp lại có thể để trường hợp này xảy ra như vậy Thiết nghỉ Lotteria nên xem xét lại trường hợp này và không để nó xảy ra nữa,{SERVICE#GENERAL#NEG}
Nớng là ngon nhất kêu thêm thịt heo nướng thì tuyệt Nói chung đồ ăn ở đây điểm giá cả phải chăng Đây luôn là sự lựa chọn đầu tiên của tôi khi quay lại,{FOOD#QUALITY#POS};{FOOD#PRICE#POS}
cứ gọi là thích mê Đồ ăn rất vừa miệng ngon đồ tươi Sushi miễn phí nhưng rất giá trị sushi cá ngừ lần đấy ăn sao mà ngon thế Phục vụ rất tốt nhẹ nhàng lễ phép và khá nhanh Có cái là trông quán không giống phong cách Nhật cho lắm trông tươi trẻ hơn một tẹo Cơ mà không sao đến rồi kiểu gì cũng mê,{FOOD#QUALITY#POS};{SERVICE#GENERAL#POS};{AMBIENCE#GENERAL#NEU}
Cháo sạch sẽ cũng ngon Lòng không bị hôi hay tanh điều đáng nói nhất đó là nước mắm để chấm quá tệ mà nó cũng là phần quan trọng nhất Mong quán cải thiện lại nước chấm,{FOOD#QUALITY#NEU}
Quán gắn máy lạnh mà toàn mở quạt Ngồi 20p mũi cắn 3 đốt Lúc trước đi xem đá banh với anh bạn thì uống nước ngọt hôm nay thử những món pha chế thì dở thật gọi bơ dâu  tất cả đều hết Đành gọi sữa chua đá Uống dở không thể chịu được ,{DRINK#QUALITY#NEG}
Bánh mỳ ngon thật ăn chắc gần năm nay rồi mà vẫn mùi vị đó không thay đổi ngon nức mũi,{FOOD#QUALITY#POS}
